time,error,integral,derivative,output,setpoint,measured_value,angle_x,angle_y,control_signal,speed
10.539,-0.6701831,-13.06923,31.70823,-68.94448,0.0,0.6701831,83.67381,0.6701831,-68.94448,3785
10.591,-0.2071292,-13.0713,34.62766,-22.34797,0.0,0.2071292,83.05959,0.2071292,-22.34797,4548
10.712,0.02876911,-13.07101,32.42009,1.021225,0.0,-0.02876911,83.20212,-0.02876911,1.021225,4931
10.769,0.3673325,-13.06734,32.70734,34.90773,0.0,-0.3673325,83.34506,-0.3673325,34.90773,5487
10.824,0.686038,-13.06048,32.53999,66.76421,0.0,-0.686038,83.78059,-0.686038,66.76421,6008
10.884,1.187035,-13.04861,36.05194,80,0.0,-1.187035,84.00639,-1.187035,80,6225
10.939,1.300213,-13.03561,31.10511,80,0.0,-1.300213,84.30046,-1.300213,80,6225
10.995,1.52123,-13.02039,29.30442,80,0.0,-1.52123,84.48189,-1.52123,80,6225
11.05,1.754113,-13.00285,28.1012,80,0.0,-1.754113,84.38528,-1.754113,80,6225
11.105,2.173518,-12.98112,30.86906,80,0.0,-2.173518,84.51296,-2.173518,80,6225
11.163,2.418068,-12.95694,29.58625,80,0.0,-2.418068,84.7834,-2.418068,80,6225
11.222,2.778365,-12.92915,30.87494,80,0.0,-2.778365,84.89603,-2.778365,80,6225
11.279,2.896842,-12.90019,27.06949,80,0.0,-2.896842,84.97874,-2.896842,80,6225
11.34,2.82726,-12.87191,20.26394,80,0.0,-2.82726,85.0043,-2.82726,80,6225
11.401,3.311337,-12.8388,25.89272,80,0.0,-3.311337,85.58223,-3.311337,80,6225
11.457,3.099722,-12.8078,16.48186,80,0.0,-3.099722,85.39793,-3.099722,80,6225
11.513,3.380051,-12.774,18.79207,80,0.0,-3.380051,85.5627,-3.380051,80,6225
11.63,3.649002,-12.73751,20.41267,80,0.0,-3.649002,85.58382,-3.649002,80,6225
11.691,3.831116,-12.6992,19.97243,80,0.0,-3.831116,85.96301,-3.831116,80,6225
11.75,4.173745,-12.65746,22.83051,80,0.0,-4.173745,86.11265,-4.173745,80,6225
11.811,4.174889,-12.61571,18.2873,80,0.0,-4.174889,85.9984,-4.174889,80,6225
11.872,3.982241,-12.57589,10.77687,80,0.0,-3.982241,85.78997,-3.982241,80,6225
11.934,4.05838,-12.53531,10.14427,80,0.0,-4.05838,85.80762,-4.05838,80,6225
11.998,4.210718,-12.4932,11.16219,80,0.0,-4.210718,85.97253,-4.210718,80,6225
12.06,4.211362,-12.45109,8.942627,80,0.0,-4.211362,86.20708,-4.211362,80,6225
12.124,3.475738,-12.41633,-7.55838,80,0.0,-3.475738,86.31054,-3.475738,80,6225
12.188,3.660901,-12.37972,-2.343438,80,0.0,-3.660901,86.67322,-3.660901,80,6225
12.255,3.765733,-12.34206,0.2218879,80,0.0,-3.765733,86.66365,-3.765733,80,6225
12.325,3.626624,-12.3058,-2.604672,80,0.0,-3.626624,86.53493,-3.626624,80,6225
12.388,4.085755,-12.26494,7.098892,80,0.0,-4.085755,86.54663,-4.085755,80,6225
12.457,4.110571,-12.22383,6.175435,80,0.0,-4.110571,86.66676,-4.110571,80,6225
12.521,4.324871,-12.18058,9.226341,80,0.0,-4.324871,86.76573,-4.324871,80,6225
12.647,4.622955,-12.13436,13.34275,80,0.0,-4.622955,86.92245,-4.622955,80,6225
12.709,4.982089,-12.08453,17.85688,80,0.0,-4.982089,87.06703,-4.982089,80,6225
12.781,4.949536,-12.03504,13.63444,80,0.0,-4.949536,87.12284,-4.949536,80,6225
12.849,4.969933,-11.98534,11.31549,80,0.0,-4.969933,87.08435,-4.969933,80,6225
12.921,4.899122,-11.93635,7.636185,80,0.0,-4.899122,87.20528,-4.899122,80,6225
12.989,5.030437,-11.88604,8.735252,80,0.0,-5.030437,87.35127,-5.030437,80,6225
13.058,5.151406,-11.83453,9.407578,80,0.0,-5.151406,87.29144,-5.151406,80,6225
13.127,5.322407,-11.78131,10.94608,80,0.0,-5.322407,87.33772,-5.322407,80,6225
13.197,5.35099,-11.7278,9.328517,80,0.0,-5.35099,87.51547,-5.35099,80,6225
13.275,5.142245,-11.67637,3.287914,80,0.0,-5.142245,87.70915,-5.142245,80,6225
13.349,4.900918,-11.62737,-2.196196,80,0.0,-4.900918,87.79833,-4.900918,80,6225
13.426,4.603228,-11.58133,-7.710774,80,0.0,-4.603228,87.82976,-4.603228,80,6225
13.496,4.229889,-11.53903,-13.63538,80,0.0,-4.229889,87.70248,-4.229889,80,6225
13.567,3.844065,-11.50059,-18.62481,80,0.0,-3.844065,87.85213,-3.844065,80,6225
13.642,3.461221,-11.46598,-22.55671,80,0.0,-3.461221,87.92551,-3.461221,80,6225
13.77,3.209692,-11.43388,-23.07596,80,0.0,-3.209692,87.75744,-3.209692,80,6225
13.878,2.861366,-11.40527,-25.42729,80,0.0,-2.861366,87.5964,-2.861366,80,6225
13.932,2.453277,-11.38074,-28.50362,80,0.0,-2.453277,87.76406,-2.453277,80,6225
13.99,2.083794,-11.3599,-30.19255,80,0.0,-2.083794,87.90675,-2.083794,80,6225
14.043,1.901681,-11.34088,-27.7963,80,0.0,-1.901681,88.17107,-1.901681,80,6225
14.098,1.604865,-11.32483,-28.17335,80,0.0,-1.604865,88.35936,-1.604865,80,6225
14.153,1.212624,-11.31271,-30.38351,80,0.0,-1.212624,88.18408,-1.212624,80,6225
14.213,0.916659,-11.30354,-30.22611,80,0.0,-0.916659,88.12807,-0.916659,80,6225
14.277,0.5706773,-11.29783,-31.10052,49.55152,0.0,-0.5706773,88.25689,-0.5706773,49.55152,5726
14.331,0.3320023,-11.29451,-29.65392,25.82998,0.0,-0.3320023,87.78592,-0.3320023,25.82998,5338
14.387,0.3212952,-11.2913,-23.93728,25.33218,0.0,-0.3212952,87.95029,-0.3212952,25.33218,5330
14.443,0.03078029,-11.29099,-24.96012,-3.821471,0.0,-0.03078029,88.22604,-0.03078029,-3.821471,4852
14.501,-0.152464,-11.29252,-23.63298,-22.01378,0.0,0.152464,88.13977,0.152464,-22.01378,4554
14.558,-0.496252,-11.29748,-25.78215,-56.60943,0.0,0.496252,88.08054,0.496252,-56.60943,3987
14.622,-0.4238671,-11.30172,-19.17802,-48.71218,0.0,0.4238671,87.96352,0.4238671,-48.71218,4117
14.739,-0.418245,-11.3059,-15.22998,-47.75681,0.0,0.418245,87.21764,0.418245,-47.75681,4132
14.802,-0.7995069,-11.3139,-19.80922,-80,0.0,0.7995069,87.3149,0.7995069,-80,3604
14.859,-0.6498485,-11.3204,-12.85421,-70.68523,0.0,0.6498485,87.47509,0.6498485,-70.68523,3757
14.92,-1.317483,-11.33357,-23.63605,-80,0.0,1.317483,87.52977,1.317483,-80,3604
14.978,-1.605228,-11.34962,-24.66375,-80,0.0,1.605228,87.64156,1.605228,-80,3604
15.039,-1.823021,-11.36785,-24.08686,-80,0.0,1.823021,87.92051,1.823021,-80,3604
15.099,-1.937081,-11.38723,-21.55069,-80,0.0,1.937081,87.79408,1.937081,-80,3604
